지점,지점명,일시(UTC),기압(hPa),고도(gpm),풍향(deg),풍속(knot)
47122,오산,2014-05-16 00:00,10,31540,,
47122,오산,2014-05-16 00:00,20,26800,,
47122,오산,2014-05-16 00:00,30,24110,,
47122,오산,2014-05-16 00:00,50,20800,,
47122,오산,2014-05-16 00:00,70,18680,,
47122,오산,2014-05-16 00:00,100,16480,,
47122,오산,2014-05-16 00:00,150,13910,280,114
47122,오산,2014-05-16 00:00,200,12010,285,102
47122,오산,2014-05-16 00:00,250,10510,300,135
47122,오산,2014-05-16 00:00,300,9270,285,101
47122,오산,2014-05-16 00:00,400,7250,290,73
47122,오산,2014-05-16 00:00,500,5610,305,53
47122,오산,2014-05-16 00:00,700,3010,300,47
47122,오산,2014-05-16 00:00,850,1427,315,24
47122,오산,2014-05-16 00:00,925,720,290,18
47122,오산,2014-05-16 00:00,1000,63,250,2
47122,오산,2014-05-16 06:00,10,31620,,
47122,오산,2014-05-16 06:00,20,26860,,
47122,오산,2014-05-16 06:00,30,24160,,
47122,오산,2014-05-16 06:00,50,20840,,
47122,오산,2014-05-16 06:00,70,18730,,
47122,오산,2014-05-16 06:00,100,16520,,
47122,오산,2014-05-16 06:00,150,13950,285,112
47122,오산,2014-05-16 06:00,200,12070,280,114
47122,오산,2014-05-16 06:00,250,10590,285,114
47122,오산,2014-05-16 06:00,300,9350,290,102
47122,오산,2014-05-16 06:00,400,7300,295,66
47122,오산,2014-05-16 06:00,500,5650,295,52
47122,오산,2014-05-16 06:00,700,3039,290,39
47122,오산,2014-05-16 06:00,850,1446,290,18
47122,오산,2014-05-16 06:00,925,734,295,9
47122,오산,2014-05-16 06:00,1000,65,250,3
47122,오산,2014-05-16 12:00,10,31210,,
47122,오산,2014-05-16 12:00,20,26600,,
47122,오산,2014-05-16 12:00,30,23970,,
47122,오산,2014-05-16 12:00,50,20720,,
47122,오산,2014-05-16 12:00,70,18620,,
47122,오산,2014-05-16 12:00,100,16450,,
47122,오산,2014-05-16 12:00,150,13910,290,105
47122,오산,2014-05-16 12:00,200,12040,280,113
47122,오산,2014-05-16 12:00,250,10580,280,104
47122,오산,2014-05-16 12:00,300,9350,275,90
47122,오산,2014-05-16 12:00,400,7310,290,65
47122,오산,2014-05-16 12:00,500,5650,295,55
47122,오산,2014-05-16 12:00,700,3046,285,33
47122,오산,2014-05-16 12:00,850,1458,285,16
47122,오산,2014-05-16 12:00,925,745,275,8
47122,오산,2014-05-16 12:00,1000,76,320,2
47122,오산,2014-05-16 18:00,30,23960,,
47122,오산,2014-05-16 18:00,50,20710,,
47122,오산,2014-05-16 18:00,70,18610,,
47122,오산,2014-05-16 18:00,100,16430,,
47122,오산,2014-05-16 18:00,150,13900,,
47122,오산,2014-05-16 18:00,200,12040,280,110
47122,오산,2014-05-16 18:00,250,10580,275,104
47122,오산,2014-05-16 18:00,300,9350,280,78
47122,오산,2014-05-16 18:00,400,7320,290,44
47122,오산,2014-05-16 18:00,500,5660,295,40
47122,오산,2014-05-16 18:00,700,3052,280,25
47122,오산,2014-05-16 18:00,850,1467,285,11
47122,오산,2014-05-16 18:00,925,756,280,6
47122,오산,2014-05-16 18:00,1000,94,145,2
47122,오산,2014-05-17 00:00,10,31540,,
47122,오산,2014-05-17 00:00,20,26810,,
47122,오산,2014-05-17 00:00,30,24130,,
47122,오산,2014-05-17 00:00,50,20830,,
47122,오산,2014-05-17 00:00,70,18710,,
47122,오산,2014-05-17 00:00,100,16520,,
47122,오산,2014-05-17 00:00,150,13960,290,80
47122,오산,2014-05-17 00:00,200,12080,275,111
47122,오산,2014-05-17 00:00,250,10600,275,100
47122,오산,2014-05-17 00:00,300,9370,275,79
47122,오산,2014-05-17 00:00,400,7340,285,39
47122,오산,2014-05-17 00:00,500,5690,295,36
47122,오산,2014-05-17 00:00,700,3059,285,31
47122,오산,2014-05-17 00:00,850,1473,300,4
47122,오산,2014-05-17 00:00,925,763,340,3
47122,오산,2014-05-17 00:00,1000,102,90,1
47122,오산,2014-05-17 06:00,20,26830,,
47122,오산,2014-05-17 06:00,30,24140,,
47122,오산,2014-05-17 06:00,50,20820,,
47122,오산,2014-05-17 06:00,70,18700,,
47122,오산,2014-05-17 06:00,100,16500,,
